314,168,30,144,255
208,164,255,255,255
69,94,220,220,220
23,240,220,220,220
386,204,220,220,220
22,32,240,244,243
10,364,220,220,220
350,167,220,220,220
70,13,239,245,245
314,434,220,220,220
346,228,220,220,220
199,243,255,255,255
9,274,220,220,220
149,135,255,255,255
109,285,255,255,255
228,379,30,144,255
283,46,220,220,220
171,265,255,255,255
19,307,220,220,220
72,363,220,220,220
25,192,220,220,220
283,321,255,255,255
77,71,220,220,220
19,123,220,220,220
141,262,255,255,255
37,409,220,220,220
149,286,255,255,255
304,282,255,255,255
293,430,220,220,220
113,277,0,0,0
18,305,220,220,220
298,140,30,144,255
105,366,220,220,220
14,59,220,220,220
125,301,255,255,255
345,320,220,220,220
107,106,220,220,220
208,272,255,255,255
228,38,239,244,245
348,0,239,245,247
330,303,0,0,0
363,108,220,220,220
49,84,220,220,220
150,162,0,0,0
138,391,220,220,220
335,1,238,245,247
181,176,255,255,255
384,146,220,220,220
131,64,220,220,220
9,155,220,220,220
46,78,220,220,220
380,179,220,220,220
320,164,30,144,255
197,279,255,255,255
51,216,30,144,255
270,179,255,255,255
308,393,220,220,220
198,169,255,255,255
181,231,255,255,255
137,266,255,255,255
340,205,0,0,0
232,111,30,144,255
318,54,220,220,220
309,217,30,144,255
274,94,220,220,220
85,346,220,220,220
25,289,220,220,220
198,53,220,220,220
163,406,220,220,220
196,274,255,255,255
229,179,255,255,255
196,355,255,0,0
41,403,220,220,220
311,408,220,220,220
319,113,220,220,220
268,32,239,245,245
386,59,220,220,220
359,8,239,244,246
2,337,220,220,220
223,176,255,255,255
90,175,30,144,255
217,285,255,255,255
180,318,255,255,255
271,39,239,244,245
189,65,220,220,220
5,177,220,220,220
178,129,30,144,255
382,133,220,220,220
79,224,30,144,255
132,255,255,255,255
30,305,220,220,220
39,143,220,220,220
383,87,220,220,220
215,90,217,217,217
79,417,220,220,220
199,74,220,220,220
73,67,220,220,220
382,102,220,220,220
209,167,255,255,255
171,193,255,255,255
321,121,220,220,220
116,116,30,144,255
24,265,220,220,220
91,338,30,144,255
161,281,255,255,255
27,89,220,220,220
252,226,255,255,255
39,272,220,220,220
193,110,30,144,255
333,371,220,220,220
180,49,220,220,220
319,293,30,144,255
161,313,255,255,255
150,164,0,0,0
362,355,220,220,220
352,179,220,220,220
340,97,220,220,220
219,10,239,245,246
28,173,220,220,220
355,223,220,220,220
359,206,220,220,220
242,267,255,255,255
203,276,255,255,255
2,217,220,220,220
336,139,220,220,220
232,277,255,255,255
